"contextMap.casinoName: Descending" 	 Total
"PP_Everymatrix_Sunubet" 	 14
"PP_Everymatrix_Nakitbahis" 	 12
"PP_Everymatrix_Megabahis" 	 74
"PP_Everymatrix_Matbet" 	 165
"PP_Everymatrix_Jojobet" 	 996
"PP_Everymatrix_Holiganbet" 	 472
"PP_Everymatrix_Bet261" 	 432
"PP_Eplay24ita_sportitaliabet.it" 	 8
"PP_Eplay24ita_CasinoPlex-SW" 	 42
"PP_Ekol24" 	 42
"PP_EXP_Lavagame" 	 97
"PP_Dreambox" 	 68
"PP_Digitain_galaxywin365" 	 2
"PP_Digitain_Totogaming.am" 	 90
"PP_Digitain_Tictac365" 	 153
"PP_Digitain_Portbet" 	 38
"PP_Digitain_Pishbini" 	 14
"PP_Digitain_Maltbahis" 	 36
"PP_Digitain_Hattrick" 	 1
"PP_Digitain_Hannibal365" 	 2
"PP_Digitain_Cepbahis" 	 79
"PP_Digitain_Betkanyon" 	 2
"PP_Dial_Media_Whamoo" 	 22
"PP_Defeng_cgnew_cgnew" 	 2
"PP_Defeng_BOSbosx88" 	 1
"PP_Defeng_BOSbosver" 	 1
"PP_Defeng_BOSbospjw" 	 7
"PP_Defeng_BOSbosjsh" 	 1
"PP_Defeng_BOSbosgpk" 	 1
"PP_Defeng_BOSbos999" 	 2
"PP_Defeng_BOSbos789" 	 1
"PP_Defeng_BOSbos188" 	 1
"PP_DaVinci_Gaming" 	 15
"PP_Condor_Gaming_sieger" 	 64
"PP_Condor_Gaming_b-bets" 	 2
"PP_Coingaming_Hub88_GMD" 	 24
"PP_Casumo_Casumo" 	 401
"PP_Casino_Days" 	 114
"PP_CDP_GAMING_Yesplay.bet" 	 405
"PP_BlueOceanGaming_BOG_SW_RSD" 	 11
"PP_BlueOceanGaming_BOG_SW3" 	 823
"PP_BlueOceanGaming_BOG_SW2" 	 2
"PP_BigGaming_BG_VND" 	 2
"PP_BigBet999_BigBet999" 	 1
"PP_Betstudios_betpot35" 	 11
"PP_Betstudios_Superbetin" 	 777
"PP_Betstudios_Betstat" 	 231
"PP_Betplanet" 	 627
"PP_Betflag_betflag.it" 	 165
"PP_Betdeal" 	 17
"PP_Betconstruct_vivaro_AM" 	 265
"PP_Betconstruct_vegabet" 	 27
"PP_Betconstruct_vbettr" 	 37
"PP_Betconstruct_setrabet27" 	 90
"PP_Betconstruct_pinbahis" 	 7
"PP_Betconstruct_icombet" 	 33
"PP_Betconstruct_elitbahis" 	 177
"PP_Betconstruct_cwinz" 	 39
"PP_Betconstruct_Yorkbet" 	 29
"PP_Betconstruct_TrendBet" 	 48
"PP_Betconstruct_Sporcasino" 	 6
"PP_Betconstruct_Parisbahis" 	 121
"PP_Betconstruct_Panamabet" 	 75
"PP_Betconstruct_Kalebet" 	 23
"PP_Betconstruct_Jack998" 	 42
"PP_Betconstruct_GrandBetting" 	 95
"PP_Betconstruct_Gbets_Lesotho" 	 353
"PP_Betbuq_Playlogiq" 	 587
"PP_BetVictor_Williamhill_BV7" 	 4
"PP_BetVictor_Direct_BV8" 	 5
"PP_BetVictor_Bwin_BV6" 	 39
"PP_BetVictor_Asia_BV2" 	 542
"PP_BetVictor" 	 141
"PP_BetPoint_justspin.com" 	 2
"PP_BetPoint_NitroCasino" 	 114
"PP_BetMaster_BetMaster" 	 74
"PP_BetHub_IDN_bh001" 	 1
"PP_Bet99" 	 61
"PP_BNW_vippark_LC" 	 30
"PP_BNW_cratosslot_LC" 	 9
"PP_BNW_LesaBahis_LC" 	 28
"PP_Avexis_K9WIN2" 	 3
"PP_Avexis_EZY2BET" 	 2
"PP_Avento_AventoNV" 	 129
"PP_Avento_AventoMT" 	 110
"PP_Alpha_Marsbahis" 	 2165
"PP_Adjarabet_COM" 	 6
"PP_Adjarabet_AM" 	 77
"PP_APLUS_aplus_standard" 	 2
"PP_AGST" 	 9
"PP_ACE2" 	 71
"PP_888_Casino_888_Casino_UK" 	 112
"PP_888_Casino_888_Casino_-_RO" 	 572
"PP_888_Casino_888_Casino_-_COM" 	 1279
"PP_7live_9CLUB" 	 447
"PP_7live" 	 1
"PP_396club_mahabet" 	 184
"PP_396club_UG396" 	 3559
"PP_396club_Interwin" 	 654
"PP_21.com" 	 221
"PP_1xBet_oppabet" 	 32
"PP_1xBet_melbet" 	 1713
"PP_1xBet_megapari" 	 39
"PP_1xBet_jvspin.com" 	 4
"PP_1xBet_fan-sport.com" 	 31
"PP_1xBet_betwinner" 	 913
"PP_1xBet_22bet" 	 787
"PP_1xBet_1xslot" 	 422
"PP_1xBet" 	 62782
"PP_1win_1win" 	 3810
"PP_1upentertainment_casinofriday" 	 38
"PP Pixelo Overplus" 	 1
