filters,"contextMap.casinoName: Descending",Total,avg,max,Median
Casino,"PP_Leongaming",6,"149.83333333333334",700,29
Casino,"PP_LeoVegas_LiveCasino.com",2,"298.5",493,"298.5"
Casino,"PP_LeoVegas_Group_LeoVegas-SE",4,"169.25",413,"104.5"
Casino,"PP_LeoVegas_Group_Go_Go_Casino_SE",128,"93.6875",392,51
Casino,"PP_LeoVegas",478,"107.35355648535565",492,56
Casino,"PP_Latamwin_Pokerenchile",92,"188.54347826086956",624,41
Casino,"PP_Lalaland",5,"349.4",371,354
Casino,"PP_L_and_L_Allbritishcasino_MGA",15,"198.8",621,68
Casino,"PP_Kplay_kplayone",578,"583.6314878892733",4377,"301.8"
Casino,"PP_Klas_Gaming_Poker_Klas",136,"145.35294117647058",696,"174.5"
Casino,"PP_Klas_Gaming_Monobahis",97,"160.57731958762886",601,40
Casino,"PP_Klas_Gaming_Jestbahis",2,"322.5",425,"322.5"
Casino,"PP_Kindred_Group_Unibet_UK",13,"141.23076923076923",239,118
Casino,"PP_Kindred_Group_Unibet_HU",177,"93.57062146892656",254,107
Casino,"PP_Kindred_Group_Unibet_CA",149,"64.90604026845638",340,33
Casino,"PP_Kindred_Group_Unibet.com",298,"71.06375838926175",591,40
Casino,"PP_Kaisar_Gaming",4,"345.25",413,357
Casino,"PP_K7_togel86",9,"680.3333333333334",1563,325
Casino,"PP_Jumpman_AM",4,"82.5",220,"37.5"
Casino,"PP_JXIT_Siam28",1,296,296,296
Casino,"PP_JSR_Genting",2,320,322,320
Casino,"PP_JSD_Xsuerte",72,"84.72222222222223",433,38
Casino,"PP_Istanaimpian_WUATB",57,"333.42105263157896",441,326
Casino,"PP_Interwetten_SW",37,"223.51351351351352",594,160
Casino,"PP_Inplaynet_mystake",622,"130.62057877813504",904,40
Casino,"PP_Infiniza_Mountgold",13,"78.38461538461539",218,35
Casino,"PP_IGC-CASUMO_Dunder",25,"97.72",300,95
Casino,"PP_IDNPlay_IDNSEAMLESS_IDNSPORT_LD",7178,"401.6251044859292",1782,"279.69444444444446"
Casino,"PP_Hub88_PlayLive_EU",78,"99.64102564102564",324,"101.5"
Casino,"PP_Hub88_Asia",449,"663.9532293986637",4246,306
Casino,"PP_Hongtu_Hongtubet",4,"368.5",502,342
Casino,"PP_Hero_Gaming_PureCasino",286,"775.6328671328671",3159,"318.5"
Casino,"PP_Hero_Gaming_CasiTabi",454,"491.1409691629956",4954,"313.4"
Casino,"PP_Hero_Gaming_Boom_Casino_MGA",50,"94.62",301,"42.5"
Casino,"PP_HXT_LT1",352,"1135.002840909091",5268,"298.88888888888886"
Casino,"PP_HWIN168_happyhappy88",1,278,278,278
Casino,"PP_HW168_kaya711",2,"289.5",297,"289.5"
Casino,"PP_HW168_judiharimau",1,318,318,318
Casino,"PP_HKB_TTB",1050,"996.8647619047618",4090,"301.1875"
Casino,"PP_HKB_TPK",502,"1147.4442231075698",4036,307
Casino,"PP_HKB_TGM",77,"433.53246753246754",3362,195
Casino,"PP_HKB_RGP",79,"989.8354430379746",3608,310
Casino,"PP_HKB_RGB",134,"1146.1940298507463",3627,"316.5"
Casino,"PP_HKB_JPK",220,"1309.8181818181818",4228,318
Casino,"PP_HKB_IDT",680,"981.064705882353",4047,302
Casino,"PP_HKB_HRP",142,"1093.8732394366198",4015,306
Casino,"PP_HKB_HK5",106,"953.0943396226415",4902,"296.5"
Casino,"PP_HKB_GTP",84,"1279.5357142857142",3606,"318.5"
Casino,"PP_HKB_GTG",258,"1149.6046511627908",4184,297
Casino,"PP_HKB_EYP",162,"851.1851851851852",4025,294
Casino,"PP_HKB_BYP",49,"1859.5102040816328",3583,345
Casino,"PP_HKB_BTP",152,"1042.6513157894738",3622,313
Casino,"PP_HKB_BRO",66,"1362.9545454545455",3620,318
Casino,"PP_HKB_AHA",133,"1157.9473684210527",3645,489
Casino,"PP_HKB_AFP",45,"834.2222222222222",3563,277
Casino,"PP_HKB_80S",129,"1421.5581395348838",5275,303
Casino,"PP_Groove_gaming_Transgol",322,"181.37888198757764",720,"217.25"
Casino,"PP_GplayG_DGBET",180,"270.2611111111111",849,273
Casino,"PP_Globonet_Playfortuna",478,"98.85983263598327",355,"44.25"
Casino,"PP_Globonet_Booi",73,"171.05479452054794",2446,37
Casino,"PP_GamingTec_trbet",2,"329.5",332,"329.5"
Casino,"PP_GamingTec_bettilt",93,"95.41935483870968",311,58
Casino,"PP_GamingTec_bahsegel",3,"335.6666666666667",388,323
Casino,"PP_Fortunejack_Fortunejack",11,"75.27272727272727",287,36
Casino,"PP_Finnplay_SW_SLotjoint",4,"117.25",226,98
Casino,"PP_Finnplay_SW_Princess_Casino",279,"151.38351254480287",812,"67.66666666666667"
Casino,"PP_FULL10_full10.com",295,"150.10508474576272",944,38
Casino,"PP_Exefeed_Oktagonbet",65,"54.50769230769231",275,29
Casino,"PP_Exefeed_LOB",52,"52.73076923076923",246,"37.5"
Casino,"PP_Everymatrix_Sunubet",14,"277.35714285714283",598,363
Casino,"PP_Everymatrix_Nakitbahis",12,"275.8333333333333",1678,"74.5"
Casino,"PP_Everymatrix_Megabahis",74,"112.89189189189189",331,42
Casino,"PP_Everymatrix_Matbet",165,"109.23636363636363",1067,38
Casino,"PP_Everymatrix_Jojobet",996,"121.13453815261045",1052,41
Casino,"PP_Everymatrix_Holiganbet",472,"111.99364406779661",693,"36.6"
Casino,"PP_Everymatrix_Bet261",432,"193.44907407407408",2653,33
Casino,"PP_Eplay24ita_sportitaliabet.it",8,"151.625",553,84
Casino,"PP_Eplay24ita_CasinoPlex-SW",42,"130.11904761904762",582,"39.5"
Casino,"PP_Ekol24",42,"126.88095238095238",441,43
Casino,"PP_EXP_Lavagame",97,"322.9896907216495",913,303
Casino,"PP_Dreambox",68,"84.82352941176471",347,36
Casino,"PP_Digitain_galaxywin365",2,"172.5",249,"172.5"
Casino,"PP_Digitain_Totogaming.am",90,"89.41111111111111",447,86
Casino,"PP_Digitain_Tictac365",153,"56.287581699346404",274,37
Casino,"PP_Digitain_Portbet",38,"61.526315789473685",278,31
Casino,"PP_Digitain_Pishbini",14,"78.71428571428571",297,62
Casino,"PP_Digitain_Maltbahis",36,"56.138888888888886",247,31
Casino,"PP_Digitain_Hattrick",1,266,266,266
Casino,"PP_Digitain_Hannibal365",2,"300.5",484,"300.5"
Casino,"PP_Digitain_Cepbahis",79,"52.151898734177216",259,28
Casino,"PP_Digitain_Betkanyon",2,"160.5",256,"160.5"
Casino,"PP_Dial_Media_Whamoo",22,74,304,"46.5"
Casino,"PP_Defeng_cgnew_cgnew",2,"359.5",374,"359.5"
Casino,"PP_Defeng_BOSbosx88",1,283,283,283
Casino,"PP_Defeng_BOSbosver",1,278,278,278
Casino,"PP_Defeng_BOSbospjw",7,"311.2857142857143",334,316
Casino,"PP_Defeng_BOSbosjsh",1,403,403,403
Casino,"PP_Defeng_BOSbosgpk",1,327,327,327
Casino,"PP_Defeng_BOSbos999",2,324,336,324
Casino,"PP_Defeng_BOSbos789",1,312,312,312
Casino,"PP_Defeng_BOSbos188",1,280,280,280
Casino,"PP_DaVinci_Gaming",15,"369.8666666666667",1010,319
Casino,"PP_Condor_Gaming_sieger",64,"115.671875",434,56
Casino,"PP_Condor_Gaming_b-bets",2,252,371,252
Casino,"PP_Coingaming_Hub88_GMD",24,"75.95833333333333",245,40
Casino,"PP_Casumo_Casumo",401,"160.75311720698255",807,41
Casino,"PP_Casino_Days",114,"100.80701754385964",349,34
Casino,"PP_CDP_GAMING_Yesplay.bet",405,"76.60246913580247",290,"38.93333333333333"
Casino,"PP_BlueOceanGaming_BOG_SW_RSD",11,"151.1818181818182",380,75
Casino,"PP_BlueOceanGaming_BOG_SW3",823,"79.34993924665856",620,30
Casino,"PP_BlueOceanGaming_BOG_SW2",2,"266.5",371,"266.5"
Casino,"PP_BigGaming_BG_VND",2,243,269,243
Casino,"PP_BigBet999_BigBet999",1,392,392,392
Casino,"PP_Betstudios_betpot35",11,"309.45454545454544",503,397
Casino,"PP_Betstudios_Superbetin",777,"142.87001287001286",1458,39
Casino,"PP_Betstudios_Betstat",231,"207.34632034632034",540,"289.3333333333333"
Casino,"PP_Betplanet",627,"68.83572567783094",335,41
Casino,"PP_Betflag_betflag.it",165,"106.94545454545455",688,39
Casino,"PP_Betdeal",17,"352.94117647058823",515,308
Casino,"PP_Betconstruct_vivaro_AM",265,"75.10943396226415",453,41
Casino,"PP_Betconstruct_vegabet",27,"68.92592592592592",237,32
Casino,"PP_Betconstruct_vbettr",37,"85.5945945945946",601,36
Casino,"PP_Betconstruct_setrabet27",90,"70.08888888888889",287,32
Casino,"PP_Betconstruct_pinbahis",7,"70.14285714285714",208,34
Casino,"PP_Betconstruct_icombet",33,"103.60606060606061",223,96
Casino,"PP_Betconstruct_elitbahis",177,82,334,36
Casino,"PP_Betconstruct_cwinz",39,"83.23076923076923",313,32
Casino,"PP_Betconstruct_Yorkbet",29,"91.58620689655173",287,40
Casino,"PP_Betconstruct_TrendBet",48,"73.83333333333333",319,32
Casino,"PP_Betconstruct_Sporcasino",6,"104.16666666666667",171,"117.5"
Casino,"PP_Betconstruct_Parisbahis",121,"68.33884297520662",339,31
Casino,"PP_Betconstruct_Panamabet",75,"76.89333333333333",491,35
Casino,"PP_Betconstruct_Kalebet",23,"67.52173913043478",279,37
Casino,"PP_Betconstruct_Jack998",42,"123.9047619047619",510,99
Casino,"PP_Betconstruct_GrandBetting",95,"82.6",332,45
Casino,"PP_Betconstruct_Gbets_Lesotho",353,"82.48158640226629",384,"41.375"
Casino,"PP_Betbuq_Playlogiq",587,"95.85860306643953",342,41
Casino,"PP_BetVictor_Williamhill_BV7",4,"783.25",1063,"868.5"
Casino,"PP_BetVictor_Direct_BV8",5,"576.6",1074,615
Casino,"PP_BetVictor_Bwin_BV6",39,"497.28205128205127",1069,621
Casino,"PP_BetVictor_Asia_BV2",542,"420.6217712177122",1620,"246.6"
Casino,"PP_BetVictor",141,"176.10638297872342",922,137
Casino,"PP_BetPoint_justspin.com",2,211,215,211
Casino,"PP_BetPoint_NitroCasino",114,"78.6842105263158",359,33
Casino,"PP_BetMaster_BetMaster",74,"72.16216216216216",290,30
Casino,"PP_BetHub_IDN_bh001",1,238,238,238
Casino,"PP_Bet99",61,"230.2295081967213",773,41
Casino,"PP_BNW_vippark_LC",30,"48.5",196,29
Casino,"PP_BNW_cratosslot_LC",9,"77.77777777777777",234,51
Casino,"PP_BNW_LesaBahis_LC",28,"50.07142857142857",255,28
Casino,"PP_Avexis_K9WIN2",3,"317.3333333333333",349,346
Casino,"PP_Avexis_EZY2BET",2,241,261,241
Casino,"PP_Avento_AventoNV",129,"96.57364341085271",310,129
Casino,"PP_Avento_AventoMT",110,"116.96363636363637",367,"90.5"
